"","Commune ou ARM","Libellé commune ou ARM","Population en 2015 (princ)"
"600","02139","Caillouël-Crépigny","435"
"601","02140","Camelin","455.00"
"602","02141","La Capelle","1813"
"603","02142","Castres","243"
"604","02143","Le Catelet","196.00"
"605","02144","Caulaincourt","143.00"
"606","02145","Caumont","559"
"607","02146","Celles-lès-Condé","82"
"608","02148","Celles-sur-Aisne","261.00"
"609","02149","Cerizy","66"
"610","02150","Cerny-en-Laonnois","67"
"611","02151","Cerny-lès-Bucy","114"
"612","02152","Cerseuil","91"
"613","02153","Cessières","451"
"614","02154","Chacrise","357.00"
"615","02155","Chaillevois","178"
"616","02156","Chalandry","247"
"617","02157","Chambry","831"
"618","02158","Chamouille","291.00"
"619","02159","Champs","282"
"620","02160","Chaourse","532"
"621","02162","La Chapelle-sur-Chézy","282"
"622","02163","Charly-sur-Marne","2657.00"
"623","02164","Le Charmel","319"
"624","02165","Charmes","1631"
"625","02166","Chartèves","347"
"626","02167","Chassemy","871"
"627","02168","Château-Thierry","3956.35"
"628","02168","Château-Thierry","2240.24"
"629","02168","Château-Thierry","139.67"
"630","02168","Château-Thierry","2121.02"
"631","02168","Château-Thierry","1997.98"
"632","02168","Château-Thierry","1810.33"
"633","02168","Château-Thierry","2336.42"
"634","02169","Châtillon-lès-Sons","86.00"
"635","02170","Châtillon-sur-Oise","128"
"636","02171","Chaudardes","85"
"637","02172","Chaudun","248"
"638","02173","Chauny","4445.43"
"639","02173","Chauny","4523.52"
"640","02173","Chauny","2862.05"
"641","02174","Chavignon","815"
"642","02175","Chavigny","134"
"643","02176","Chavonne","204"
"644","02177","Chérêt","140"
"645","02178","Chermizy-Ailles","110"
"646","02179","Chéry-Chartreuve","388"
"647","02180","Chéry-lès-Pouilly","702"
"648","02181","Chéry-lès-Rozoy","90"
"649","02182","Chevennes","135"
"650","02183","Chevregny","192"
"651","02184","Chevresis-Monceau","364.00"
"652","02185","Chézy-en-Orxois","408.00"
"653","02186","Chézy-sur-Marne","1335"
"654","02187","Chierry","1081"
"655","02188","Chigny","147"
"656","02189","Chivres-en-Laonnois","374.00"
"657","02190","Chivres-Val","553.00"
"658","02191","Chivy-lès-Étouvelles","507"
"659","02192","Chouy","375"
"660","02193","Cierges","70"
"661","02194","Cilly","210.00"
"662","02195","Ciry-Salsogne","918"
"663","02196","Clacy-et-Thierret","322"
"664","02197","Clairfontaine","564"
"665","02198","Clamecy","224"
"666","02199","Clastres","646"
"667","02200","Clermont-les-Fermes","126"
"668","02201","Coeuvres-et-Valsery","448.00"
"669","02203","Coincy","1341"
"670","02204","Coingt","68"
"671","02205","Colligis-Crandelain","233"
"672","02206","Colonfay","81.00"
"673","02207","Commenchon","209"
"674","02208","Concevreux","283"
"675","02209","Condé-en-Brie","667"
"676","02210","Condé-sur-Aisne","368"
"677","02211","Condé-sur-Suippe","258"
"678","02212","Condren","715.00"
"679","02213","Connigis","324"
"680","02214","Contescourt","62"
"681","02215","Corbeny","734"
"682","02216","Corcy","313.00"
"683","02217","Coucy-le-Château-Auffrique","1036"
"684","02218","Coucy-lès-Eppes","621"
"685","02219","Coucy-la-Ville","214"
"686","02220","Coulonges-Cohan","436"
"687","02221","Coupru","159"
"688","02222","Courbes","31.00"
"689","02223","Courboin","300"
"690","02224","Courcelles-sur-Vesle","361.00"
"691","02225","Courchamps","92.00"
"692","02226","Courmelles","1799"
"693","02227","Courmont","137"
"694","02228","Courtemont-Varennes","311"
"695","02229","Courtrizy-et-Fussigny","66"
"696","02230","Couvrelles","188"
"697","02231","Couvron-et-Aumencourt","919"
"698","02232","Coyolles","349"
"699","02233","Cramaille","134"
"700","02234","Craonne","80"
"701","02235","Craonnelle","116"
"702","02236","Crécy-au-Mont","345"
"703","02237","Crécy-sur-Serre","1494"
"704","02238","Crépy","1901"
"705","02239","Crézancy","1221"
"706","02240","Croix-Fonsomme","249"
"707","02241","La Croix-sur-Ourcq","108"
"708","02242","Crouttes-sur-Marne","641"
"709","02243","Crouy","2879"
"710","02244","Crupilly","70"
"711","02245","Cuffies","1803.00"
"712","02246","Cugny","595"
"713","02248","Cuirieux","159"
"714","02249","Cuiry-Housse","107"
"715","02250","Cuiry-lès-Chaudardes","73"
"716","02251","Cuiry-lès-Iviers","28"
"717","02252","Cuissy-et-Geny","67"
"718","02253","Cuisy-en-Almont","349.00"
"719","02254","Cutry","125"
"720","02255","Cys-la-Commune","142"
"721","02256","Dagny-Lambercy","130"
"722","02257","Dallon","437.00"
"723","02258","Dammard","396.00"
"724","02259","Dampleux","402.00"
"725","02260","Danizy","609"
"726","02261","Dercy","389"
"727","02262","Deuillet","221"
"728","02263","Dhuizel","115"
"729","02264","Dizy-le-Gros","760.00"
"730","02265","Dohis","98.00"
"731","02266","Dolignon","51.00"
"732","02267","Dommiers","289"
"733","02268","Domptin","664.00"
"734","02269","Dorengt","155.00"
"735","02270","Douchy","159"
"736","02271","Dravegny","142.00"
"737","02272","Droizy","73"
"738","02273","Dury","214"
"739","02274","Ébouleau","208"
"740","02275","Effry","333"
"741","02276","Englancourt","133"
"742","02277","Épagny","334"
"743","02278","Éparcy","34.00"
